instanceNumber,instanceUUID,expositionEventLineCount,syntaxErrors,syntaxErrorRate,conversionErrors,conversionErrorRate,structuralErrors,structuralErrorRate,totalErrors,totalErrorRate,warningCount,errorCount
890,2d12be59-d56a-4cac-b562-b098dfac58ae,143,0,0,0,0,0,0,0,0,0,0
914,d38c08ba-29de-4642-8779-16345c743732,997,3,0.3009,0,0,1,0.1003,4,0.4012,1,2
920,c48559e2-d252-4045-8217-8261e8ed6fbf,171,1,0.5848,0,0,0,0,1,0.5848,0,1
926,3ee4c362-1876-4b80-84a1-825d7ffdab72,174,1,0.5747,0,0,0,0,1,0.5747,0,1
930,10208187-7fb4-45c1-a448-75160364a551,513,3,0.5848,0,0,1,0.1949,4,0.7797,2,1
967,de4282c7-1b9f-4a45-8748-c5b81631e150,972,5,0.5144,2,0.2058,0,0,7,0.7202,3,2
972,57bd7924-f189-4940-a0f3-624cd6a6d94d,231,1,0.4329,1,0.4329,0,0,2,0.8658,0,1
975,ade117cc-e262-4b60-aeac-1c184358030b,654,2,0.3058,0,0,0,0,2,0.3058,2,0
1021,236f8c6a-03c9-45d6-b724-1c0423b2351f,117,0,0,0,0,0,0,0,0,0,0
1039,edb5ba63-6c1f-4359-be8a-e62654230436,6484,5,0.0771,6,0.0925,0,0,11,0.1696,5,1
1046,3d500103-70b9-494e-a067-8daf0758c613,579,5,0.8636,1,0.1727,2,0.3454,8,1.3817,2,3
1047,c8920c72-42df-47b3-a6eb-e5caa1060013,162,0,0,0,0,0,0,0,0,0,1
1055,84e0492e-ec84-40df-bbe1-0a4a80768db9,1057,0,0,1,0.0946,0,0,1,0.0946,0,0
1069,d2dd54c1-4ace-4c51-99a5-8cea2b71479f,131,0,0,0,0,0,0,0,0,0,0
1086,cf69d51d-f4b7-46d8-925b-bd6b7b6ec882,371,1,0.2695,0,0,0,0,1,0.2695,1,0
1087,05192edb-67a1-4c30-a65e-f6b039715501,1654,1,0.0605,0,0,0,0,1,0.0605,1,0
1091,ef9eb6a1-3b33-4278-82f5-be5039fd856c,84,0,0,0,0,0,0,0,0,0,0
1098,7db339ef-981f-4c7b-93a6-e8e5af742ec8,111,0,0,0,0,0,0,0,0,0,0
1118,88f8b6fe-d6f7-46c4-9c6b-fe805430a1e1,93,0,0,0,0,0,0,0,0,0,0
1123,2c6c6152-1a02-4f45-8089-fd6d454ffa50,965,1,0.1036,1,0.1036,1,0.1036,3,0.3109,1,0
1124,b3d9a3e6-abc2-43a1-8fce-73f661aef841,4174,27,0.6469,14,0.3354,1,0.0240,42,1.0062,17,10
1126,e4b55d14-0d28-4ddf-8998-dc1ffe776aee,155,0,0,0,0,0,0,0,0,0,0
1132,31d52a6a-960d-4061-92b9-e25dbc55591f,207,0,0,1,0.4831,0,0,1,0.4831,0,0
1133,3405ddd8-225e-48ad-a4b1-ef44fc23a19a,119,0,0,0,0,0,0,0,0,0,0
1134,14b7b178-4c16-43fa-8de6-3e372084a3e7,94,0,0,0,0,0,0,0,0,0,0
1258,39ddbb1e-6513-4b04-abad-e546c53f4370,452,0,0,2,0.4425,0,0,2,0.4425,0,0
1266,a0ffa6ca-a355-4f4f-9a7c-9a5803079674,1183,7,0.5917,0,0,0,0,7,0.5917,4,3
1314,28ec06e6-1dac-475b-99ab-53629f9d0778,1431,1,0.0699,4,0.2795,3,0.2096,8,0.5590,1,0
1317,ab14d3cf-124e-449c-a93f-a4450d71f7c3,1581,2,0.1265,2,0.1265,2,0.1265,6,0.3795,2,0
1388,a12b2f34-c1e9-4bda-9aa4-4fc58d22aac6,559,0,0,1,0.1789,1,0.1789,2,0.3578,0,0
1393,8197db8a-44e2-4d3d-8ead-abfd08c17fa9,7839,,NaN,,NaN,,NaN,NaN,NaN,,
1465,23f2cfb2-50b6-445f-a6ba-612191c76d7d,3979,8,0.2011,5,0.1257,2,0.0503,15,0.3770,8,0
1467,1f32ae2c-49a6-4a26-8a17-dfc7f3399d67,484,0,0,0,0,0,0,0,0,0,0
1510,384ea332-70e3-4837-965e-c674a8026834,265,0,0,0,0,0,0,0,0,0,0
1523,7536b262-c50d-4763-a267-d0e8a9e326e4,1470,0,0,0,0,0,0,0,0,0,0
1524,b920a793-b30d-4e63-900f-66b34d9e1e71,2225,1,0.0449,3,0.1348,3,0.1348,7,0.3146,0,1
1527,a032d4bd-ea86-44b4-bf11-77c6ff4a976e,484,0,0,0,0,0,0,0,0,0,0
1528,1f8e6dce-34fc-4289-9583-ea8a57ee95ae,1516,2,0.1319,0,0,0,0,2,0.1319,2,0
1529,772c08c0-deff-4432-9eaa-9b59b0a57916,251,2,0.7968,1,0.3984,0,0,3,1.1952,2,0
